html_file,image_reference,count
moral-decline/03-evidence-chronology/MDA-014-fissure-1950.html,../images/mda/The_1962_Software_Crash%20conv%2011.webp,1
moral-decline/03-evidence-chronology/MDA-015-long-decline.html,../images/mda/Signal_Blackout%20conv%204.webp,1
moral-decline/03-evidence-chronology/MDA-015-long-decline.html,../images/mda/The_1962_Software_Crash%20conv%201.webp,1
moral-decline/03-evidence-chronology/MDA-017-unraveling-1960.html,../images/mda/PHASE_TRANSITION%20conv%2013.webp,1
moral-decline/03-evidence-chronology/MDA-017-unraveling-1960.html,../images/mda/Signal_Blackout%20conv%206.webp,1
moral-decline/03-evidence-chronology/MDA-018-great-decoupling-1968.html,../images/mda/The_1962_Software_Crash%20conv%209.webp,1
moral-decline/03-evidence-chronology/MDA-018-great-decoupling-1968.html,../images/mda/The_Observer_Collapsed%20conv%208.webp,1
moral-decline/03-evidence-chronology/MDA-019-current-state-2024.html,../images/mda/Phantom_Money_Phantom_Morals%20conv%209.webp,1
moral-decline/03-evidence-chronology/MDA-019-current-state-2024.html,../images/mda/The_Observer_Collapsed%20conv%203.webp,1
moral-decline/04-collapse-mechanisms/MDA-020-phase-transition.html,../images/mda/PHASE_TRANSITION%20conv%2010.webp,1
moral-decline/04-collapse-mechanisms/MDA-020-phase-transition.html,../images/mda/Signal_Blackout%20conv%208.webp,1
moral-decline/04-collapse-mechanisms/MDA-021-anatomy-of-phase-transition.html,../images/mda/Phantom_Money_Phantom_Morals%20conv%205.webp,1
moral-decline/04-collapse-mechanisms/MDA-021-anatomy-of-phase-transition.html,../images/mda/Signal_Blackout%20conv%203.webp,1
moral-decline/04-collapse-mechanisms/MDA-022-cascade.html,../images/mda/The_1962_Software_Crash%20conv%207.webp,1
moral-decline/04-collapse-mechanisms/MDA-022-cascade.html,../images/mda/The_Observer_Collapsed%20conv%204.webp,1
moral-decline/04-collapse-mechanisms/MDA-023-coherence-cascade.html,../images/mda/Signal_Blackout%20conv%201.webp,1
moral-decline/04-collapse-mechanisms/MDA-024-semantic-collapse.html,../images/mda/Phantom_Money_Phantom_Morals%20conv%2010.webp,1
